Country,Pos,EBF,H-met,W-met,H-imp,lbs,st-lb,Player name
Z,fullback,500,180cm,90 kg,"5'11""",198,14s 2,Nehe Milner-Skudder
i,back-row,528,193cm,102kg,"6' 4""",225,16s 1,Francesco Minto
A,wing,505,182cm,92 kg,"6' 0""",203,14s 7,Drew Mitchell
U,prop,639,183cm,117kg,"6' 0""",258,18s 6,Matekitonga Moeakiola
a,hooker,554,184cm,102kg,"6' 0""",225,16s 1,Julian Montoya
C,back-row,563,183cm,103kg,"6' 0""",227,16s 3,John Moonlight
A,hooker,602,186cm,112kg,"6' 1""",247,17s 9,Stephen Moore
T,fly-half,500,180cm,90 kg,"5'11""",198,14s 2,Kurt Morath
E,back-row,607,191cm,116kg,"6' 3""",256,18s 4,Ben Morgan
W,fullback,422,173cm,73 kg,"5' 8""",161,11s 7,Matthew Morgan
i,centre,519,183cm,95 kg,"6' 0""",209,14s13,Luca Morisi
a,centre,470,185cm,87 kg,"6' 1""",192,13s10,Matias Moroni
R,prop,627,185cm,116kg,"6' 1""",256,18s 4,Tendai Mtawarira
A,Lock,556,196cm,109kg,"6' 5""",240,17s 2,Dean Mumm
F,fullback,528,178cm,94 kg,"5'10""",207,14s11,Kini Murimurivalu
I,back-row,564,188cm,106kg,"6' 2""",234,16s10,Jordi Murphy
I,scrum-half,505,188cm,95 kg,"6' 2""",209,14s13,Connor Murray
R,wing,492,185cm,91 kg,"6' 1""",201,14s 5,Lwazi Mvovo
F,wing,643,196cm,126kg,"6' 5""",278,19s12,Nemani Nadolo
Z,wing,524,187cm,98 kg,"6' 2""",216,15s 6,Waisake Naholo
f,wing,495,190cm,94 kg,"6' 3""",207,14s11,Noa Nakaitaci
F,Lock,551,198cm,109kg,"6' 6""",240,17s 2,Leone Nakarawa
S,fullback,481,181cm,87 kg,"5'11""",192,13s10,Tim Nanai-Williams
G,prop,634,186cm,118kg,"6' 1""",260,18s 8,Mikheil Nariashvili
F,wing,533,195cm,104kg,"6' 5""",229,16s 5,Waisea Nayacalevu
s,prop,659,182cm,120kg,"6' 0""",265,18s13,WP Nel
G,Lock,612,196cm,120kg,"6' 5""",265,18s13,Giorgi Nemsadze
T,hooker,643,182cm,117kg,"6' 0""",258,18s 6,Paul Ngauamo
U,wing,478,178cm,85 kg,"5'10""",187,13s 5,Takudzwa Ngwenya
Y,back-row,486,185cm,90 kg,"6' 1""",198,14s 2,Alejandro Nieto
U,centre,486,183cm,89 kg,"6' 0""",196,14s 0,Folau Niua
Z,centre,593,182cm,108kg,"6' 0""",238,17s 0,Ma`a Nonu
W,wing,565,193cm,109kg,"6' 4""",240,17s 2,George North
E,wing,481,181cm,87 kg,"5'11""",192,13s10,Jack Nowell
R,prop,674,178cm,120kg,"5'10""",265,18s13,Trevor Nyakane
f,back-row,513,187cm,96 kg,"6' 2""",212,15s 2,Yannick Nyanga
I,back-row,574,188cm,108kg,"6' 2""",238,17s 0,Sean O'Brien
I,Lock,566,198cm,112kg,"6' 6""",247,17s 9,Paul O'Connell
I,back-row,560,191cm,107kg,"6' 3""",236,16s12,Peter O'Mahony
C,Lock,505,196cm,99 kg,"6' 5""",218,15s 8,Evan Olmstead
J,Lock,552,192cm,106kg,"6' 4""",234,16s10,Hitoshi Ono
J,fly-half,485,171cm,83 kg,"5' 7""",183,13s 1,Kosei Ono
R,prop,702,181cm,127kg,"5'11""",280,20s 0,Coenie Oosthuizen
Y,centre,489,180cm,88 kg,"5'11""",194,13s12,Agustin Ormaechea
f,back-row,524,187cm,98 kg,"6' 2""",216,15s 6,Fulgence Ouedraogo
W,hooker,589,185cm,109kg,"6' 1""",240,17s 2,Ken Owens
a,Lock,557,194cm,108kg,"6' 4""",238,17s 0,Guido Petti Pagadizabal
R,scrum-half,456,169cm,77 kg,"5' 7""",170,12s 2,Rudy Paige
U,centre,622,188cm,117kg,"6' 2""",258,18s 6,Thretton Palamo
i,scrum-half,452,177cm,80 kg,"5'10""",176,12s 8,Guglielmo Palazzani
Y,Lock,550,191cm,105kg,"6' 3""",231,16s 7,Mathias Palomeque
A,back-row,598,194cm,115kg,"6' 4""",254,18s 2,Wycliff Palu
f,Lock,605,195cm,118kg,"6' 5""",260,18s 8,Pascal Pape
i,back-row,571,196cm,112kg,"6' 5""",247,17s 9,Sergio Parisse
E,Lock,591,198cm,117kg,"6' 6""",258,18s 6,Geoff Parling
f,scrum-half,428,180cm,77 kg,"5'11""",170,12s 2,Morgan Parra
M,prop,650,183cm,119kg,"6' 0""",262,18s10,Ion Paulica
S,Lock,607,201cm,122kg,"6' 7""",269,19s 3,Filo Paulo
I,centre,505,188cm,95 kg,"6' 2""",209,14s13,Jared Payne
a,prop,603,179cm,108kg,"5'10""",238,17s 0,Lucas Noguera Paz
Z,scrum-half,511,184cm,94 kg,"6' 0""",207,14s11,TJ Perenara
S,prop,648,182cm,118kg,"6' 0""",260,18s 8,Anthony Perenise
S,centre,560,182cm,102kg,"6' 0""",225,16s 1,Paul Perez
U,Lock,576,203cm,117kg,"6' 8""",258,18s 6,Greg Peterson
U,scrum-half,474,175cm,83 kg,"5' 9""",183,13s 1,Mike Petri
N,wing,506,172cm,87 kg,"5' 8""",192,13s10,David Philander
W,scrum-half,529,191cm,101kg,"6' 3""",223,15s13,Mike Philips
A,scrum-half,483,180cm,87 kg,"5'11""",192,13s10,Nick Phipps
f,back-row,604,192cm,116kg,"6' 4""",256,18s 4,Louis Picamoles
R,scrum-half,481,187cm,90 kg,"6' 2""",198,14s 2,Ruan Pienaar
R,wing,505,190cm,96 kg,"6' 3""",212,15s 2,JP Pietersen
C,hooker,557,183cm,102kg,"6' 0""",225,16s 1,Benoit Piffero
S,centre,508,185cm,94 kg,"6' 1""",207,14s11,George Pisi
S,wing,475,183cm,87 kg,"6' 0""",192,13s10,Ken Pisi
S,fly-half,508,183cm,93 kg,"6' 0""",205,14s 9,Tusi Pisi
T,centre,577,182cm,105kg,"6' 0""",231,16s 7,Sione Piukala
T,centre,524,185cm,97 kg,"6' 1""",214,15s 4,Siale Piutau
A,back-row,615,187cm,115kg,"6' 2""",254,18s 2,David Pocock
R,fly-half,516,188cm,97 kg,"6' 2""",214,15s 4,Handre Pollard
A,hooker,635,181cm,114kg,"5'11""",251,17s13,Tatafu Polota-Nau
M,Lock,528,197cm,104kg,"6' 6""",229,16s 5,Valentin Popirlan
Y,centre,455,176cm,80 kg,"5' 9""",176,12s 8,Joaquin Prada
W,fly-half,519,183cm,95 kg,"6' 0""",209,14s13,Rhys Priestland
G,wing,495,194cm,96 kg,"6' 4""",212,15s 2,Giorgi Pruidze
T,prop,659,185cm,122kg,"6' 1""",269,19s 3,Sila Puafisi
M,prop,580,188cm,109kg,"6' 2""",240,17s 2,Horatiu Pungea
s,scrum-half,449,178cm,80 kg,"5'10""",176,12s 8,Henry Pyrgos
F,back-row,577,194cm,112kg,"6' 4""",247,17s 9,Akapusi Qera
U,back-row,543,188cm,102kg,"6' 2""",225,16s 1,John Quill
M,hooker,578,185cm,107kg,"6' 1""",236,16s12,Andrei Radoi
T,back-row,546,183cm,100kg,"6' 0""",220,15s10,Jack Ram
F,Lock,566,198cm,112kg,"6' 6""",247,17s 9,Api Ratuniyarewa
F,prop,568,185cm,105kg,"6' 1""",231,16s 7,Peni Ravai
F,back-row,563,190cm,107kg,"6' 3""",236,16s12,Malakai Ravulo
Z,back-row,580,193cm,112kg,"6' 4""",247,17s 9,Kieran Read
I,scrum-half,472,176cm,83 kg,"5' 9""",183,13s 1,Eoin Reddan
N,prop,622,180cm,112kg,"5'11""",247,17s 9,Johnny Redelinghuys
s,prop,638,188cm,120kg,"6' 2""",265,18s13,Gordon Reid
Z,Lock,574,204cm,117kg,"6' 8""",258,18s 6,Brodie Retallick
i,prop,612,188cm,115kg,"6' 2""",254,18s 2,Michele Rizzo
W,centre,570,193cm,110kg,"6' 4""",243,17s 5,Jamie Roberts
E,back-row,580,188cm,109kg,"6' 2""",240,17s 2,Chris Robshaw
Y,centre,486,185cm,90 kg,"6' 1""",198,14s 2,Alberto Roman
Z,Lock,598,199cm,119kg,"6' 6""",262,18s10,Luke Romano
I,prop,676,188cm,127kg,"6' 2""",280,20s 0,Mike Ross
s,fly-half,475,183cm,87 kg,"6' 0""",192,13s10,Finn Russell
I,Lock,577,201cm,116kg,"6' 7""",256,18s 4,Donnacha Ryan
Y,prop,591,186cm,110kg,"6' 1""",243,17s 5,Mario Sagario
a,fly-half,469,177cm,83 kg,"5'10""",183,13s 1,Nicolas Sanchez
Y,prop,505,186cm,94 kg,"6' 1""",207,14s11,Mateo Sanguinetti
i,wing,484,192cm,93 kg,"6' 4""",205,14s 9,Leonardo Sarto
J,centre,530,183cm,97 kg,"6' 0""",214,15s 4,Male Sau
F,prop,622,188cm,117kg,"6' 2""",258,18s 6,Manasa Saulo
Z,wing,590,183cm,108kg,"6' 0""",238,17s 0,Julian Savea
s,centre,519,185cm,96 kg,"6' 1""",212,15s 2,Matt Scott
U,wing,524,191cm,100kg,"6' 3""",220,15s10,Blaine Scully
C,prop,622,185cm,115kg,"6' 1""",254,18s 2,Djustice Sears-Duru
a,back-row,555,191cm,106kg,"6' 3""",234,16s10,Leonardo Senatore
F,scrum-half,429,175cm,75 kg,"5' 9""",165,11s11,Henry Seniloli
I,fly-half,487,189cm,92 kg,"6' 2""",203,14s 7,Jonathan Sexton
s,wing,519,183cm,95 kg,"6' 0""",209,14s13,Tommy Seymour
G,centre,484,186cm,90 kg,"6' 1""",198,14s 2,Merab Sharikadze
Y,scrum-half,418,182cm,76 kg,"6' 0""",168,12s 0,Rodrigo Silva
A,Lock,575,200cm,115kg,"6' 7""",254,18s 2,Rob Simmons
C,back-row,575,193cm,111kg,"6' 4""",245,17s 7,Jebb Sinclair
A,prop,620,187cm,115kg,"6' 2""",254,18s 2,Scott Sio
A,Lock,690,203cm,140kg,"6' 8""",309,22s 1,Will Skelton
Z,fly-half,492,183cm,90 kg,"6' 0""",198,14s 2,Colin Slade
E,centre,463,188cm,87 kg,"6' 2""",192,13s10,Henry Slade
f,prop,618,178cm,110kg,"5'10""",243,17s 5,Rabah Slimani
A,prop,629,186cm,117kg,"6' 1""",258,18s 6,James Slipper
N,wing,???,???cm,???kg,"?' ?""",???,??s ?,Heinrich Smit
Z,scrum-half,485,171cm,83 kg,"5' 7""",183,13s 1,Aaron Smith
Z,centre,487,187cm,91 kg,"6' 2""",201,14s 5,Ben Smith
Z,centre,511,186cm,95 kg,"6' 1""",209,14s13,Conrad Smith
U,Lock,532,201cm,107kg,"6' 7""",236,16s12,Hayden Smith
A,prop,611,190cm,116kg,"6' 3""",256,18s 4,Toby Smith
a,centre,551,178cm,98 kg,"5'10""",216,15s 6,Juan Pablo Socino
F,Lock,597,196cm,117kg,"6' 5""",258,18s 6,Nemia Soqeta
f,fullback,519,187cm,97 kg,"6' 2""",214,15s 4,Scott Spedding
A,wing,522,186cm,97 kg,"6' 1""",214,15s 4,Henry Speight
U,Lock,592,191cm,113kg,"6' 3""",249,17s11,Louis Stanfill
S,fly-half,505,184cm,93 kg,"6' 0""",205,14s 9,Michael Stanley
N,scrum-half,412,165cm,68 kg,"5' 5""",150,10s10,Damian Stevens
R,fly-half,495,184cm,91 kg,"6' 0""",201,14s 5,Morne Steyn
M,fullback,478,186cm,89 kg,"6' 1""",196,14s 0,Sabin Stratila
R,hooker,611,185cm,113kg,"6' 1""",249,17s11,Adriaan Strauss
s,back-row,596,193cm,115kg,"6' 4""",254,18s 2,Josh Strauss
I,hooker,580,174cm,101kg,"5' 9""",223,15s13,Richardt Strauss
s,back-row,579,190cm,110kg,"6' 3""",243,17s 5,Alasdair Strokosch
U,centre,617,188cm,116kg,"6' 2""",256,18s 4,Andrew Suniula
U,scrum-half,497,175cm,87 kg,"5' 9""",192,13s10,Shalom Suniula
M,scrum-half,420,169cm,71 kg,"5' 7""",157,11s 3,Florin Surugiu
G,back-row,570,193cm,110kg,"6' 4""",243,17s 5,Shalva Sutiashvili
s,Lock,600,195cm,117kg,"6' 5""",258,18s 6,Tim Swinson
f,hooker,567,180cm,102kg,"5'11""",225,16s 1,Dimitri Szarzewski
T,back-row,551,185cm,102kg,"6' 1""",225,16s 1,Hale T-Pole
T,centre,589,180cm,106kg,"5'11""",234,16s10,Viliami Tahitu'a
T,hooker,622,180cm,112kg,"5'11""",247,17s 9,Elvis Taione
T,scrum-half,540,176cm,95 kg,"5' 9""",209,14s13,Sonatane Takulua
F,wing,527,186cm,98 kg,"6' 1""",216,15s 6,Metuisela Talebula
F,back-row,596,188cm,112kg,"6' 2""",247,17s 9,Netami Talei
f,fly-half,484,186cm,90 kg,"6' 1""",198,14s 2,Remi Tales
J,centre,508,181cm,92 kg,"5'11""",203,14s 7,Yu Tamura
J,scrum-half,428,166cm,71 kg,"5' 5""",157,11s 3,Fumiaki Tanaka
M,prop,587,184cm,108kg,"6' 0""",238,17s 0,Alexandru Tarus
J,fly-half,519,181cm,94 kg,"5'11""",207,14s11,Harumichi Tatekawa
U,prop,694,183cm,127kg,"6' 0""",280,20s 0,Joseph Taufete'e
S,prop,656,183cm,120kg,"6' 0""",265,18s13,Zak Taulafo
T,prop,605,185cm,112kg,"6' 1""",247,17s 9,Sona Taumalolo
Z,hooker,579,183cm,106kg,"6' 0""",234,16s10,Codie Taylor
S,Lock,616,198cm,122kg,"6' 6""",269,19s 3,Joe Tekori
U,hooker,461,191cm,88 kg,"6' 3""",194,13s12,Zack Test
U,hooker,678,180cm,122kg,"5'11""",269,19s 3,Phil Thiel
U,wing,528,193cm,102kg,"6' 4""",225,16s 1,Brett Thompson
S,Lock,566,198cm,112kg,"6' 6""",247,17s 9,Kane Thompson
J,Lock,551,196cm,108kg,"6' 5""",238,17s 0,Luke Thompson
C,back-row,557,185cm,103kg,"6' 1""",227,16s 3,Richard Thorpe
C,prop,628,183cm,115kg,"6' 0""",254,18s 2,Andrew Tiedemann
F,wing,487,187cm,91 kg,"6' 2""",201,14s 5,Asaeli Tikoirotuma
f,scrum-half,494,176cm,87 kg,"5' 9""",192,13s10,Sebastien Tillous-Borde
W,back-row,537,188cm,101kg,"6' 2""",223,15s13,Justin Tipuric
G,back-row,568,176cm,100kg,"5' 9""",220,15s10,Giorgi Tkhilaishvili
G,wing,497,181cm,90 kg,"5'11""",198,14s 2,Alexander Todua
A,wing,543,188cm,101kg,"6' 2""",223,15s13,Joseph Tomane
I,Lock,588,211cm,124kg,"6'11""",273,19s 7,Devin Toner
T,prop,686,191cm,131kg,"6' 3""",289,20s 9,Soane Tonga'uiha
M,back-row,559,195cm,109kg,"6' 5""",240,17s 2,Ovidiu Tonita
A,centre,500,182cm,90 kg,"6' 0""",198,14s 2,Matt Toomua
C,centre,505,188cm,95 kg,"6' 2""",209,14s13,Conor Trainor
S,back-row,578,187cm,108kg,"6' 2""",238,17s 0,Ofisa Treviranus
N,fullback,444,180cm,80 kg,"5'11""",176,12s 8,Johan Tromp
U,back-row,575,193cm,111kg,"6' 4""",245,17s 7,Matt Trouville
G,fullback,467,182cm,85 kg,"6' 0""",187,13s 5,Beka Tsiklauri
F,hooker,594,180cm,107kg,"5'11""",236,16s12,Talemaitoga Tuapati
a,fullback,500,184cm,92 kg,"6' 0""",203,14s 7,Joaquin Tuculet
J,back-row,566,189cm,107kg,"6' 2""",236,16s12,Hendrik Tui
S,wing,632,185cm,117kg,"6' 1""",258,18s 6,Alesana Tuilagi
S,back-row,593,194cm,115kg,"6' 4""",254,18s 2,Vavae Tuilagi
T,Lock,591,203cm,120kg,"6' 8""",265,18s13,Joe Tuineau
M,hooker,641,184cm,118kg,"6' 0""",260,18s 8,Otar Turashvili
N,Lock,542,201cm,109kg,"6' 7""",240,17s 2,Tjiuee Uanivi
C,fly-half,484,188cm,91 kg,"6' 2""",201,14s 5,Liam Underwood
M,prop,650,180cm,117kg,"5'11""",258,18s 6,Andrei Ursache
M,Lock,580,193cm,112kg,"6' 4""",247,17s 9,Valentin Ursache
T,wing,522,182cm,95 kg,"6' 0""",209,14s13,Fetu'u Vainikolo
M,Lock,587,196cm,115kg,"6' 5""",254,18s 2,Johannes Van Heerden
N,hooker,606,175cm,106kg,"5' 9""",234,16s10,Torsten Van Jaarsveld
N,back-row,580,193cm,112kg,"6' 4""",247,17s 9,PJ Van Lill
N,centre,513,187cm,96 kg,"6' 2""",212,15s 2,Danie Van Wyk
N,wing,483,180cm,87 kg,"5'11""",192,13s10,Russell Van Wyk
C,wing,536,183cm,98 kg,"6' 0""",216,15s 6,DTH Van der Merwe
N,hooker,552,183cm,101kg,"6' 0""",223,15s13,Louis Van der Westhuizen
T,wing,472,180cm,85 kg,"5'11""",187,13s 5,Telusa Veainu
F,hooker,549,184cm,101kg,"6' 0""",223,15s13,Viliame Veikoso
i,wing,594,187cm,111kg,"6' 2""",245,17s 7,Giovanbattista Venditti
N,Lock,518,193cm,100kg,"6' 4""",220,15s10,Janco Venter
R,back-row,601,193cm,116kg,"6' 4""",256,18s 4,Duane Vermeulen
s,centre,520,196cm,102kg,"6' 5""",225,16s 1,Richie Vernon
Y,fly-half,428,173cm,74 kg,"5' 8""",163,11s 9,Andres Vilaseca
Y,back-row,457,175cm,80 kg,"5' 9""",176,12s 8,Santiago Vilaseca
i,scrum-half,449,178cm,80 kg,"5'10""",176,12s 8,Marcello Violi
s,wing,562,194cm,109kg,"6' 4""",240,17s 2,Tim Visser
Z,back-row,583,192cm,112kg,"6' 4""",247,17s 9,Victor Vito
N,prop,605,185cm,112kg,"6' 1""",247,17s 9,Casper Viviers
M,centre,495,186cm,92 kg,"6' 1""",203,14s 7,Florin Vlaicu
F,fly-half,503,191cm,96 kg,"6' 3""",212,15s 2,Ben Volavola
E,back-row,670,188cm,126kg,"6' 2""",278,19s12,Billy Vunipola
E,prop,672,180cm,121kg,"5'11""",267,19s 1,Mako Vunipola
i,back-row,635,189cm,120kg,"6' 2""",265,18s13,Samuela Vunisa
W,wing,486,183cm,89 kg,"6' 0""",196,14s 0,Eli Walker
F,back-row,566,196cm,111kg,"6' 5""",245,17s 7,Dominiko Waqaniburotu
W,back-row,527,188cm,99 kg,"6' 2""",218,15s 8,Sam Warburton
E,wing,503,185cm,93 kg,"6' 1""",205,14s 9,Anthony Watson
E,hooker,634,183cm,116kg,"6' 0""",256,18s 4,Rob Webber
s,fly-half,529,172cm,91 kg,"5' 8""",201,14s 5,Duncan Weir
s,prop,600,185cm,111kg,"6' 1""",245,17s 7,Jon Welsh
I,prop,649,188cm,122kg,"6' 2""",269,19s 3,Nathan White
Z,Lock,562,203cm,114kg,"6' 8""",251,17s13,Sam Whitelock
E,scrum-half,491,175cm,86 kg,"5' 9""",190,13s 8,Richard Wigglesworth
W,fullback,470,185cm,87 kg,"6' 1""",192,13s10,Liam Williams
W,scrum-half,475,183cm,87 kg,"6' 0""",192,13s10,Lloyd Williams
W,centre,541,185cm,100kg,"6' 1""",220,15s10,Scott Williams
Z,centre,557,194cm,108kg,"6' 4""",238,17s 0,Sonny Bill Williams
E,prop,676,185cm,125kg,"6' 1""",276,19s10,David Wilson
s,back-row,550,191cm,105kg,"6' 3""",231,16s 7,Ryan Wilson
J,centre,500,180cm,90 kg,"5'11""",198,14s 2,Craig Wing
M,fly-half,494,178cm,88 kg,"5'10""",194,13s12,Michael Wiringi
E,back-row,549,195cm,107kg,"6' 5""",236,16s12,Tom Wood
Z,prop,652,184cm,120kg,"6' 0""",265,18s13,Tony Woodcock
C,prop,536,183cm,98 kg,"6' 0""",216,15s 6,Doug Wooldridge
U,fullback,508,183cm,93 kg,"6' 0""",205,14s 9,Chris Wyles
J,wing,497,181cm,90 kg,"5'11""",198,14s 2,Akihito Yamada
J,prop,667,183cm,122kg,"6' 0""",269,19s 3,Hiroshi Yamashita
F,back-row,536,196cm,105kg,"6' 5""",231,16s 7,Peceli Yato
E,scrum-half,517,178cm,92 kg,"5'10""",203,14s 7,Ben Youngs
E,hooker,577,175cm,101kg,"5' 9""",223,15s13,Tom Youngs
J,hooker,590,173cm,102kg,"5' 8""",225,16s 1,Hiroki Yuhara
i,back-row,549,193cm,106kg,"6' 4""",234,16s10,Alessandro Zanni
I,wing,500,188cm,94 kg,"6' 2""",207,14s11,Simon Zebo
Y,Lock,476,191cm,91 kg,"6' 3""",201,14s 5,Jorge Zerbino
G,prop,670,179cm,120kg,"5'10""",265,18s13,Davit Zirakashvili
